,Date,Open,High,Low,Close*,Adj Close**,Volume,Date2
46,"Nov 29, 2021",663.20,675.38,594.00,602.13,602.13,20181500,2021-11-29
47,"Nov 22, 2021",676.02,679.48,646.05,665.64,665.64,9824400,2021-11-22
48,"Nov 15, 2021",681.24,700.99,671.49,678.80,678.80,12309000,2021-11-15
49,"Nov 08, 2021",650.29,683.34,642.11,682.61,682.61,14775600,2021-11-08
50,"Nov 01, 2021",689.06,689.97,645.01,645.72,645.72,19482900,2021-11-01
51,"Oct 25, 2021",663.74,690.97,657.07,690.31,690.31,15699900,2021-10-25
52,"Oct 18, 2021",632.10,665.46,617.15,664.78,664.78,37547300,2021-10-18
53,"Oct 11, 2021",633.20,639.42,621.99,628.29,628.29,15298700,2021-10-11
54,"Oct 04, 2021",613.39,646.84,594.68,632.66,632.66,25939600,2021-10-04
55,"Sep 27, 2021",587.95,619.00,576.93,613.15,613.15,23860200,2021-09-27
56,"Sep 20, 2021",586.79,599.32,568.08,592.39,592.39,14657300,2021-09-20
57,"Sep 13, 2021",598.57,598.57,575.37,589.35,589.35,15252600,2021-09-13
58,"Sep 06, 2021",594.69,615.60,593.67,598.72,598.72,18150900,2021-09-06
59,"Aug 30, 2021",557.25,598.76,556.45,590.53,590.53,19354000,2021-08-30
60,"Aug 23, 2021",545.98,564.17,543.74,558.92,558.92,11625200,2021-08-23
61,"Aug 16, 2021",515.24,551.39,512.30,546.88,546.88,18198300,2021-08-16
62,"Aug 09, 2021",521.15,522.67,507.20,515.92,515.92,8865600,2021-08-09
63,"Aug 02, 2021",519.00,526.84,505.37,520.55,520.55,11191900,2021-08-02
64,"Jul 26, 2021",514.38,524.47,509.01,517.57,517.57,11677100,2021-07-26
65,"Jul 19, 2021",526.05,536.64,504.66,515.41,515.41,30871600,2021-07-19
66,"Jul 12, 2021",540.30,557.54,527.05,530.31,530.31,18347800,2021-07-12
67,"Jul 05, 2021",533.00,544.64,528.58,535.98,535.98,11543800,2021-07-05
68,"Jun 28, 2021",528.12,538.54,524.56,533.98,533.98,12689100,2021-06-28
69,"Jun 21, 2021",501.64,533.06,492.28,527.07,527.07,23691700,2021-06-21
70,"Jun 14, 2021",489.68,504.49,486.28,500.77,500.77,19433400,2021-06-14
71,"Jun 07, 2021",492.92,498.82,482.14,488.77,488.77,15727800,2021-06-07
72,"May 31, 2021",504.01,505.41,487.25,494.74,494.74,11799500,2021-05-31
73,"May 24, 2021",501.05,511.76,498.54,502.81,502.81,13741500,2021-05-24
74,"May 17, 2021",485.59,505.40,478.54,497.89,497.89,15449700,2021-05-17
75,"May 10, 2021",502.00,503.15,478.63,493.37,493.37,19249100,2021-05-10
76,"May 03, 2021",512.65,518.95,491.37,503.84,503.84,18487300,2021-05-03
77,"Apr 26, 2021",506.76,514.55,499.00,513.47,513.47,20884100,2021-04-26
78,"Apr 19, 2021",546.90,563.56,500.55,505.55,505.55,54812500,2021-04-19
79,"Apr 12, 2021",551.05,559.75,538.53,546.54,546.54,15752900,2021-04-12
80,"Apr 05, 2021",540.01,556.90,529.23,555.31,555.31,16185200,2021-04-05
81,"Mar 29, 2021",505.66,540.50,504.40,539.42,539.42,13189800,2021-03-29
82,"Mar 22, 2021",509.13,543.12,496.68,508.05,508.05,21440900,2021-03-22
83,"Mar 15, 2021",516.32,533.42,501.63,512.18,512.18,18021500,2021-03-15
84,"Mar 08, 2021",514.46,530.24,492.85,518.02,518.02,19919500,2021-03-08
85,"Mar 01, 2021",545.57,556.99,498.79,516.39,516.39,21550800,2021-03-01
86,"Feb 22, 2021",534.99,556.85,518.28,538.85,538.85,18468600,2021-02-22
87,"Feb 15, 2021",557.29,563.63,538.23,540.22,540.22,9991400,2021-02-15
88,"Feb 08, 2021",555.00,566.65,543.00,556.52,556.52,15414200,2021-02-08
89,"Feb 01, 2021",536.79,559.48,531.73,550.79,550.79,18028100,2021-02-01
90,"Jan 25, 2021",567.00,569.75,515.73,532.39,532.39,31195700,2021-01-25
91,"Jan 18, 2021",501.00,593.29,493.54,565.17,565.17,64306200,2021-01-18
92,"Jan 11, 2021",507.84,514.50,485.67,497.98,497.98,24901900,2021-01-11
93,"Jan 04, 2021",539.00,540.80,499.50,510.40,510.40,19584800,2021-01-04
94,"Dec 28, 2020",516.43,545.50,507.13,540.73,540.73,14182900,2020-12-28
95,"Dec 21, 2020",530.05,532.62,512.21,513.97,513.97,9337800,2020-12-21
96,"Dec 14, 2020",505.44,536.37,501.18,534.45,534.45,20543800,2020-12-14
97,"Dec 07, 2020",500.01,521.49,491.29,503.22,503.22,18926200,2020-12-07
98,"Nov 30, 2020",490.08,509.47,481.27,498.31,498.31,18104300,2020-11-30
99,"Nov 23, 2020",490.46,493.25,475.84,491.36,491.36,15371500,2020-11-23
101,"Nov 16, 2020",480.00,494.76,477.30,488.24,488.24,17789000,2020-11-16
102,"Nov 09, 2020",485.54,496.52,463.41,482.84,482.84,32252700,2020-11-09
103,"Nov 02, 2020",478.87,518.73,475.00,514.73,514.73,22844800,2020-11-02
104,"Oct 26, 2020",487.03,513.90,472.21,475.74,475.74,34734600,2020-10-26
105,"Oct 19, 2020",537.07,541.80,481.35,488.28,488.28,46946200,2020-10-19
106,"Oct 12, 2020",548.81,572.49,530.03,530.79,530.79,31953100,2020-10-12
107,"Oct 05, 2020",506.80,544.28,501.70,539.44,539.44,26443600,2020-10-05
108,"Sep 28, 2020",489.11,529.55,477.88,503.06,503.06,27174000,2020-09-28
109,"Sep 21, 2020",467.69,491.82,466.32,482.88,482.88,20162800,2020-09-21
110,"Sep 14, 2020",480.62,504.66,458.60,469.96,469.96,29188000,2020-09-14
111,"Sep 07, 2020",498.40,522.00,476.81,482.03,482.03,23696200,2020-09-07
112,"Aug 31, 2020",521.16,557.39,485.98,516.05,516.05,37742200,2020-08-31
113,"Aug 24, 2020",495.44,549.04,483.16,523.89,523.89,44344000,2020-08-24
114,"Aug 17, 2020",484.19,498.94,479.10,492.31,492.31,18139000,2020-08-17
115,"Aug 10, 2020",493.35,497.46,466.55,482.68,482.68,23412000,2020-08-10
116,"Aug 03, 2020",490.86,510.82,486.68,494.73,494.73,25425500,2020-08-03
117,"Jul 27, 2020",484.51,497.79,477.51,488.88,488.88,32986500,2020-07-27
118,"Jul 20, 2020",489.14,506.22,467.54,480.45,480.45,43476300,2020-07-20
119,"Jul 13, 2020",567.98,575.37,484.14,492.99,492.99,93039400,2020-07-13
120,"Jul 06, 2020",480.77,555.88,479.80,548.73,548.73,46646700,2020-07-06
121,"Jun 29, 2020",445.23,492.28,432.14,476.89,476.89,25099900,2020-06-29
122,"Jun 22, 2020",455.01,474.01,442.24,443.40,443.40,27985900,2020-06-22
123,"Jun 15, 2020",421.40,453.97,415.42,453.72,453.72,26717500,2020-06-15
124,"Jun 08, 2020",416.00,445.57,406.50,418.07,418.07,31469400,2020-06-08
125,"Jun 01, 2020",418.83,428.71,404.25,419.60,419.60,22064600,2020-06-01
126,"May 25, 2020",427.77,428.50,397.86,419.73,419.73,29237400,2020-05-25
127,"May 18, 2020",451.16,458.97,427.18,429.32,429.32,32730900,2020-05-18
128,"May 11, 2020",436.33,455.00,427.27,454.19,454.19,33350300,2020-05-11
129,"May 04, 2020",417.78,442.00,414.87,435.55,435.55,31437300,2020-05-04
130,"Apr 27, 2020",425.00,429.00,393.60,415.27,415.27,42325700,2020-04-27
131,"Apr 20, 2020",435.17,447.00,413.00,424.99,424.99,79529400,2020-04-20
132,"Apr 13, 2020",371.31,449.52,367.70,422.96,422.96,65580100,2020-04-13
133,"Apr 06, 2020",365.22,381.33,361.71,370.72,370.72,29850500,2020-04-06
134,"Mar 30, 2020",363.00,383.01,357.51,361.76,361.76,34114300,2020-03-30
135,"Mar 23, 2020",347.89,372.93,339.17,357.12,357.12,49033700,2020-03-23
136,"Mar 16, 2020",306.63,350.49,290.25,332.83,332.83,54637200,2020-03-16
137,"Mar 09, 2020",343.86,364.54,307.32,336.30,336.30,42575700,2020-03-09
138,"Mar 02, 2020",373.11,393.52,356.85,368.97,368.97,37744000,2020-03-02
139,"Feb 24, 2020",364.76,391.56,356.80,369.03,369.03,44488000,2020-02-24
140,"Feb 17, 2020",379.30,392.95,376.68,380.07,380.07,18079800,2020-02-17
141,"Feb 10, 2020",365.00,385.37,362.52,380.40,380.40,22913500,2020-02-10
142,"Feb 03, 2020",347.24,375.25,346.28,366.77,366.77,28574700,2020-02-03
143,"Jan 27, 2020",345.95,352.40,338.55,345.09,345.09,32732700,2020-01-27
144,"Jan 20, 2020",340.00,359.85,323.60,353.16,353.16,72220300,2020-01-20
145,"Jan 13, 2020",331.80,345.38,331.51,339.67,339.67,29729900,2020-01-13
146,"Jan 06, 2020",323.12,343.42,321.20,329.05,329.05,26898400,2020-01-06
147,"Dec 30, 2019",329.08,329.98,321.09,325.90,325.90,16317500,2019-12-30
148,"Dec 23, 2019",337.76,337.95,326.01,329.09,329.09,16410600,2019-12-23
149,"Dec 16, 2019",300.85,338.00,298.63,336.90,336.90,46030600,2019-12-16
150,"Dec 09, 2019",307.35,311.49,292.02,298.50,298.50,30460600,2019-12-09
151,"Dec 02, 2019",314.39,314.39,298.81,307.35,307.35,23797000,2019-12-02
152,"Nov 25, 2019",308.83,316.82,305.25,314.66,314.66,19703500,2019-11-25
153,"Nov 18, 2019",296.00,312.69,293.28,310.48,310.48,33104900,2019-11-18
154,"Nov 11, 2019",289.16,296.36,281.14,295.03,295.03,31738800,2019-11-11
155,"Nov 04, 2019",288.00,298.19,285.84,291.57,291.57,23504400,2019-11-04
156,"Oct 28, 2019",278.05,293.49,277.35,286.81,286.81,30634500,2019-10-28
157,"Oct 21, 2019",272.89,279.94,265.80,276.82,276.82,41110300,2019-10-21
158,"Oct 14, 2019",283.93,308.75,273.36,275.30,275.30,91063500,2019-10-14
159,"Oct 07, 2019",271.99,287.87,264.57,282.93,282.93,39191600,2019-10-07
160,"Sep 30, 2019",264.00,275.48,257.01,272.79,272.79,41878000,2019-09-30
161,"Sep 23, 2019",268.35,273.39,252.28,263.08,263.08,56472900,2019-09-23
162,"Sep 16, 2019",294.23,299.15,266.00,270.75,270.75,50189700,2019-09-16
163,"Sep 09, 2019",294.81,301.55,282.66,294.15,294.15,39552800,2019-09-09
164,"Sep 02, 2019",290.82,293.97,282.79,290.17,290.17,22468700,2019-09-02
165,"Aug 26, 2019",295.24,299.93,287.20,293.75,293.75,23795700,2019-08-26
166,"Aug 19, 2019",306.25,311.75,290.32,291.44,291.44,29276600,2019-08-19
167,"Aug 12, 2019",305.46,316.43,288.00,302.80,302.80,35711900,2019-08-12
168,"Aug 05, 2019",310.96,316.64,296.81,308.93,308.93,35449000,2019-08-05
169,"Jul 29, 2019",335.98,336.40,311.80,318.83,318.83,30915100,2019-07-29
170,"Jul 22, 2019",312.00,336.00,305.81,335.78,335.78,60496900,2019-07-22
171,"Jul 15, 2019",372.94,373.68,314.23,315.10,315.10,75037000,2019-07-15
172,"Jul 08, 2019",378.19,384.76,362.68,373.25,373.25,26898200,2019-07-08
173,"Jul 01, 2019",373.50,381.99,370.31,380.55,380.55,16148800,2019-07-01
174,"Jun 24, 2019",370.27,375.00,358.29,367.32,367.32,22981600,2019-06-24
175,"Jun 17, 2019",342.69,371.45,342.06,369.21,369.21,29801800,2019-06-17
176,"Jun 10, 2019",363.65,367.10,336.16,339.73,339.73,29020000,2019-06-10
177,"Jun 03, 2019",343.56,365.15,332.65,360.87,360.87,29248600,2019-06-03
178,"May 27, 2019",354.39,361.20,342.92,343.28,343.28,19407400,2019-05-27
179,"May 20, 2019",351.23,370.46,345.40,354.39,354.39,24338700,2019-05-20
180,"May 13, 2019",352.29,364.00,341.39,354.45,354.45,30886700,2019-05-13
181,"May 06, 2019",377.69,381.35,352.75,361.04,361.04,30879700,2019-05-06
182,"Apr 29, 2019",373.68,385.99,368.35,385.03,385.03,27477600,2019-04-29
183,"Apr 22, 2019",359.70,384.80,359.00,374.85,374.85,40489600,2019-04-22
184,"Apr 15, 2019",350.71,368.76,342.27,360.35,360.35,53989800,2019-04-15
185,"Apr 08, 2019",365.11,370.12,349.36,351.14,351.14,36811700,2019-04-08
186,"Apr 01, 2019",359.00,373.41,358.51,365.49,365.49,26096500,2019-04-01
187,"Mar 25, 2019",359.00,368.38,349.20,356.56,356.56,33059300,2019-03-25
188,"Mar 18, 2019",362.47,379.00,356.80,361.01,361.01,42858600,2019-03-18
189,"Mar 11, 2019",352.00,364.00,350.03,361.46,361.46,30711900,2019-03-11
190,"Mar 04, 2019",359.72,362.86,342.47,349.60,349.60,32686800,2019-03-04
191,"Feb 25, 2019",367.01,371.49,354.69,357.32,357.32,29857100,2019-02-25
192,"Feb 18, 2019",355.80,366.71,353.88,363.02,363.02,28823400,2019-02-18
193,"Feb 11, 2019",350.00,364.40,344.81,356.87,356.87,44968700,2019-02-11
194,"Feb 04, 2019",342.60,360.00,338.00,347.57,347.57,40241600,2019-02-04
195,"Jan 28, 2019",334.70,346.84,328.15,339.85,339.85,43905100,2019-01-28
196,"Jan 21, 2019",334.89,340.00,318.60,338.05,338.05,53706000,2019-01-21
197,"Jan 14, 2019",334.24,358.85,329.13,339.10,339.10,92558500,2019-01-14
198,"Jan 07, 2019",302.10,341.09,301.65,337.59,337.59,80295400,2019-01-07
199,"Dec 31, 2018",260.16,297.80,256.58,297.57,297.57,59488100,2018-12-31
200,"Dec 24, 2018",242.00,261.91,231.23,256.08,256.08,47178300,2018-12-24
202,"Dec 17, 2018",266.51,280.87,241.29,246.39,246.39,71963700,2018-12-17
203,"Dec 10, 2018",264.19,281.77,260.61,266.84,266.84,49200100,2018-12-10
204,"Dec 03, 2018",293.19,298.72,263.38,265.14,265.14,52459000,2018-12-03
205,"Nov 26, 2018",260.55,290.81,253.80,286.13,286.13,65741000,2018-11-26
206,"Nov 19, 2018",283.79,285.09,250.00,258.82,258.82,45955700,2018-11-19
207,"Nov 12, 2018",300.00,303.55,278.30,286.21,286.21,59077200,2018-11-12
208,"Nov 05, 2018",311.10,332.05,298.01,303.47,303.47,57826400,2018-11-05
209,"Oct 29, 2018",305.26,321.88,271.21,309.10,309.10,94270900,2018-10-29
210,"Oct 22, 2018",333.10,336.58,292.30,299.83,299.83,84006700,2018-10-22
211,"Oct 15, 2018",337.63,380.00,326.93,332.67,332.67,99160500,2018-10-15
212,"Oct 08, 2018",345.18,358.72,315.81,339.56,339.56,69266500,2018-10-08
